Categories,Commits,Events,Proportion,Density,Accept_Rate
Cat-1,160,Grizzly,0.689,140.7871649,0.249246759
Cat-1,160,Grizzly,0.689,56.38860155,0.282480594
Cat-1,159,Grizzly,0.685,170.0102643,0.386107114
Cat-1,155,Grizzly,0.667,88.62168648,0.517275
Cat-1,153,Grizzly,0.659,45.8035182,0.30674226
Cat-1,150,Grizzly,0.646,278.3422802,0.185925143
Cat-1,148,Grizzly,0.637,111.6632166,0.351270859
Cat-1,147,Grizzly,0.633,358.1080773,0.499875598
Cat-1,146,Grizzly,0.629,329.4922964,0.384221134
Cat-1,146,Grizzly,0.629,144.8676163,0.208596697
Cat-1,146,Grizzly,0.629,245.2572397,0.434159582
Cat-1,142,Grizzly,0.611,60.25966212,0.517275
Cat-1,140,Grizzly,0.603,202.3327966,0.477382307
Cat-1,138,Grizzly,0.594,82.25910926,0.517275
Cat-1,135,Grizzly,0.581,61.67171736,0.215496451
Cat-1,134,Grizzly,0.577,209.1871273,0.397449843
Cat-1,130,Grizzly,0.56,47.68426682,0.227174091
Cat-1,129,Grizzly,0.556,94.4323159,0.462706069
Cat-1,128,Grizzly,0.551,267.1359041,0.413960474
Cat-1,126,Grizzly,0.543,216.4386207,0.269036514
Cat-1,124,Grizzly,0.534,135.0478465,0.424570351
Cat-1,124,Grizzly,0.534,208.4248698,0.284500355
Cat-1,121,Grizzly,0.521,121.2191085,0.378993197
Cat-1,120,Grizzly,0.517,83.99826078,0.517275
Cat-1,119,Grizzly,0.512,264.578492,0.309352239
Cat-1,117,Grizzly,0.504,74.8892925,0.262831171
Cat-1,117,Grizzly,0.504,160.0592811,0.242496897
Cat-1,116,Grizzly,0.5,75.12075286,0.517275
Cat-1,115,Grizzly,0.495,208.0050009,0.159782743
Cat-1,110,Grizzly,0.474,207.8893895,0.517275
Cat-1,109,Grizzly,0.469,88.84653503,0.249698764
Cat-1,108,Grizzly,0.465,85.58219093,0.271964741
Cat-1,543,Havana,3.215,114.4052966,0.490879585
Cat-1,377,Havana,2.232,81.94981317,0.496237455
Cat-1,346,Havana,2.049,98.4950836,0.165241141
Cat-1,323,Havana,1.913,76.02397006,0.439688814
Cat-1,318,Havana,1.883,285.7249393,0.435294488
Cat-1,307,Havana,1.818,227.1578009,0.517275
Cat-1,306,Havana,1.812,262.4572665,0.249246759
Cat-1,284,Havana,1.682,127.7291611,0.282480594
Cat-1,279,Havana,1.652,57.64014948,0.386107114
Cat-1,274,Havana,1.623,88.96147649,0.517275
Cat-1,254,Havana,1.504,187.4426799,0.30674226
Cat-1,239,Havana,1.415,135.1391899,0.185925143
Cat-1,233,Havana,1.38,74.58229555,0.351270859
Cat-1,226,Havana,1.338,238.0558885,0.499875598
Cat-1,210,Havana,1.244,106.0653889,0.384221134
Cat-1,196,Havana,1.161,167.402844,0.208596697
Cat-1,188,Havana,1.113,160.1190417,0.434159582
Cat-1,177,Havana,1.048,79.69131083,0.165241141
Cat-1,172,Havana,1.019,13.85681318,0.439688814
Cat-1,170,Havana,1.007,66.92785827,0.435294488
Cat-1,170,Havana,1.007,217.3796014,0.517275
Cat-1,164,Havana,0.971,43.25902846,0.249246759
Cat-1,164,Havana,0.971,254.9354965,0.282480594
Cat-1,164,Havana,0.971,61.46052878,0.386107114
Cat-1,162,Havana,0.959,36.77744567,0.517275
Cat-1,152,Havana,0.9,150.2176287,0.30674226
Cat-1,150,Havana,0.888,136.112689,0.185925143
Cat-1,149,Havana,0.882,154.8663678,0.351270859
Cat-1,149,Havana,0.882,116.9471237,0.499875598
Cat-1,136,Havana,0.805,37.23210191,0.384221134
Cat-1,136,Havana,0.805,188.3235383,0.208596697
Cat-1,133,Havana,0.788,160.2036994,0.434159582
Cat-1,128,Havana,0.758,84.7131397,0.517275
Cat-1,125,Havana,0.74,184.1929325,0.477382307
Cat-1,120,Havana,0.711,240.816031,0.517275
Cat-1,118,Havana,0.699,314.9504927,0.215496451
Cat-1,117,Havana,0.693,16.67676932,0.397449843
Cat-1,117,Havana,0.693,156.3403819,0.227174091
Cat-1,116,Havana,0.687,90.21900372,0.462706069
Cat-1,115,Havana,0.681,114.1721514,0.413960474
Cat-1,115,Havana,0.681,283.5540703,0.269036514
Cat-1,115,Havana,0.681,86.37398787,0.424570351
Cat-1,111,Havana,0.657,171.2491436,0.284500355
Cat-1,111,Havana,0.657,234.8991198,0.378993197
Cat-1,111,Havana,0.657,70.65327703,0.517275
Cat-1,109,Havana,0.645,165.2009522,0.309352239
Cat-1,108,Havana,0.64,91.16360798,0.262831171
Cat-1,106,Havana,0.628,34.09772131,0.242496897
Cat-1,106,Havana,0.628,78.28059624,0.517275
Cat-1,105,Havana,0.622,107.2184723,0.159782743
Cat-1,105,Havana,0.622,238.6324713,0.517275
Cat-1,104,Havana,0.616,245.5808707,0.249698764
Cat-1,104,Havana,0.616,194.8616255,0.271964741
Cat-1,103,Havana,0.61,87.9803544,0.490879585
Cat-1,102,Havana,0.604,282.8825801,0.496237455
Cat-1,101,Havana,0.598,181.7950839,0.165241141
Cat-1,99,Havana,0.586,266.1528483,0.439688814
Cat-1,98,Havana,0.58,217.3084924,0.435294488
Cat-1,96,Havana,0.568,290.8808808,0.517275
Cat-1,96,Havana,0.568,46.07381326,0.249246759
Cat-1,93,Havana,0.551,126.5875671,0.282480594
Cat-1,821,Icehouse,4.089,128.5464793,0.386107114
Cat-1,609,Icehouse,3.033,178.7410515,0.517275
Cat-1,520,Icehouse,2.59,282.3438866,0.30674226
Cat-1,509,Icehouse,2.535,154.7048684,0.185925143
Cat-1,502,Icehouse,2.5,190.3698486,0.490879585
Cat-1,427,Icehouse,2.127,195.9599387,0.496237455
Cat-1,376,Icehouse,1.873,275.2176074,0.165241141
Cat-1,367,Icehouse,1.828,242.9269394,0.439688814
Cat-1,360,Icehouse,1.793,224.3378117,0.435294488
Cat-1,357,Icehouse,1.778,113.2295317,0.517275
Cat-1,333,Icehouse,1.658,27.21992318,0.249246759
Cat-1,274,Icehouse,1.365,68.05016401,0.282480594
Cat-1,272,Icehouse,1.355,149.3051503,0.386107114
Cat-1,271,Icehouse,1.35,235.1071695,0.517275
Cat-1,249,Icehouse,1.24,214.4203845,0.30674226
Cat-1,239,Icehouse,1.19,287.9336094,0.185925143
Cat-1,235,Icehouse,1.17,113.9529994,0.351270859
Cat-1,234,Icehouse,1.165,80.85352085,0.499875598
Cat-1,214,Icehouse,1.066,45.87729023,0.384221134
Cat-1,213,Icehouse,1.061,189.7187164,0.208596697
Cat-1,207,Icehouse,1.031,80.56309528,0.434159582
Cat-1,202,Icehouse,1.006,148.5297498,0.165241141
Cat-1,199,Icehouse,0.991,209.4305155,0.439688814
Cat-1,199,Icehouse,0.991,215.9674969,0.435294488
Cat-1,192,Icehouse,0.956,228.7087027,0.517275
Cat-1,185,Icehouse,0.921,176.4404627,0.249246759
Cat-1,176,Icehouse,0.877,94.24145827,0.282480594
Cat-1,173,Icehouse,0.862,274.8504517,0.386107114
Cat-1,169,Icehouse,0.842,170.1393019,0.517275
Cat-1,169,Icehouse,0.842,141.6404903,0.30674226
Cat-1,168,Icehouse,0.837,254.8600501,0.185925143
Cat-1,156,Icehouse,0.777,161.4134812,0.351270859
Cat-1,155,Icehouse,0.772,31.70836171,0.499875598
Cat-1,151,Icehouse,0.752,25.34554866,0.384221134
Cat-1,151,Icehouse,0.752,277.4148005,0.208596697
Cat-1,147,Icehouse,0.732,273.3264485,0.434159582
Cat-1,139,Icehouse,0.692,25.82001934,0.517275
Cat-1,138,Icehouse,0.687,210.9834741,0.477382307
Cat-1,138,Icehouse,0.687,64.57083807,0.517275
Cat-1,135,Icehouse,0.672,23.83774272,0.215496451
Cat-1,135,Icehouse,0.672,90.82706688,0.397449843
Cat-1,133,Icehouse,0.662,229.5504091,0.227174091
Cat-1,132,Icehouse,0.657,88.15776614,0.462706069
Cat-1,129,Icehouse,0.642,65.86997025,0.413960474
Cat-1,129,Icehouse,0.642,46.36391023,0.269036514
Cat-1,128,Icehouse,0.637,74.47581097,0.424570351
Cat-1,127,Icehouse,0.633,39.53006017,0.284500355
Cat-1,125,Icehouse,0.623,95.45287588,0.378993197
Cat-1,123,Icehouse,0.613,140.1132109,0.517275
Cat-1,122,Icehouse,0.608,344.5892799,0.309352239
Cat-1,121,Icehouse,0.603,189.7429598,0.262831171
Cat-1,120,Icehouse,0.598,35.72890769,0.242496897
Cat-1,120,Icehouse,0.598,236.2486553,0.517275
Cat-1,119,Icehouse,0.593,197.338009,0.159782743
Cat-1,119,Icehouse,0.593,67.76098276,0.517275
Cat-1,118,Icehouse,0.588,273.9280738,0.332341402
Cat-1,116,Icehouse,0.578,97.62266306,0.373812625
Cat-1,115,Icehouse,0.573,323.0237878,0.297
Cat-1,114,Icehouse,0.568,119.4427049,0.114168279
Cat-1,111,Icehouse,0.553,129.5737185,0.35654904
Cat-1,110,Icehouse,0.548,226.0429252,0.339766938
Cat-2,147.4,Juno,5.16,165.3047023,0.31803
Cat-2,473,Juno,4.38,115.3555441,0.35772
Cat-2,468.6,Juno,4.35,260.8158863,0.28421
Cat-2,414.7,Juno,4.03,310.0801647,0.10925
Cat-2,388.3,Juno,3.87,230.8088267,0.3412
Cat-2,317.9,Juno,3.45,278.6270594,0.5781
Cat-2,248.6,Juno,2.62,301.312413,0.5291
Cat-2,229.9,Juno,3.04,161.7477862,0.549
Cat-2,224.4,Juno,2.93,171.6409731,0.3251
Cat-2,216.7,Juno,2.9,42.96735318,0.6
Cat-2,215.6,Juno,2.85,21.6336312,0.3997
Cat-2,210.1,Juno,2.85,109.0136244,0.1351
Cat-2,210.1,Juno,2.81,150.6938203,0.342
Cat-2,207.9,Juno,2.81,24.73138287,0.3592
Cat-2,207.9,Juno,2.8,88.71179476,0.445
Cat-2,190.3,Juno,2.8,119.94426,0.371
Cat-2,179.3,Juno,2.7,293.6366448,0.2515
Cat-2,177.1,Juno,2.63,25.4405475,0.2321
Cat-2,170.5,Juno,2.58,81.33720713,0.576
Cat-2,170.5,Juno,2.57,170.3285673,0.1529
Cat-2,166.1,Juno,2.55,101.6368786,0.5885
Cat-2,165,Juno,2.55,28.05163579,0.5389
Cat-2,160.6,Juno,2.52,229.8977459,0.2603
Cat-2,156.2,Juno,2.49,156.9623769,0.4697
Cat-2,151.8,Juno,2.46,89.20453154,0.4749
Cat-2,150.7,Juno,2.46,172.1421023,0.1581
Cat-2,149.6,Juno,2.45,302.7723231,0.4208
Cat-2,149.6,Juno,2.45,38.42442235,0.4165
Cat-2,605,Juno,2.44,97.56171829,0.5409
Cat-2,147.4,Juno,2.44,251.1276715,0.2385
Cat-2,147.4,Juno,2.44,65.07881407,0.2703
Cat-2,146.3,Juno,2.43,216.823446,0.4864
Cat-2,146.3,Juno,2.43,22.2466392,0.3181
Cat-2,141.9,Juno,2.41,133.6496671,0.4234
Cat-2,138.6,Juno,2.38,97.53320661,0.2966
Cat-2,137.5,Juno,2.38,283.8532864,0.5801
Cat-2,136.4,Juno,2.37,102.9793847,0.4246
Cat-2,136.4,Juno,2.37,274.4577078,0.3695
Cat-2,130.9,Juno,2.34,264.5614263,0.6309
Cat-2,128.7,Juno,2.33,197.2211809,0.2935
Cat-2,128.7,Juno,2.33,186.2359855,0.1779
Cat-2,125.4,Juno,2.31,212.3686561,0.3361
Cat-2,123.2,Juno,2.3,84.54749142,0.4783
Cat-2,121,Juno,2.28,132.8202856,0.3677
Cat-2,116.6,Juno,2.26,28.24733194,0.1996
Cat-2,116.6,Juno,2.26,171.6675701,0.4155
Cat-2,114.4,Juno,2.24,242.4417331,0.5139
Cat-2,114.4,Juno,2.24,166.4056319,0.4568
Cat-2,111.1,Juno,2.22,75.35107434,0.538
Cat-2,108.9,Juno,2.21,35.64922378,0.5812
Cat-2,106.7,Juno,2.2,235.272195,0.3803
Cat-2,105.6,Juno,2.19,62.73534281,0.2174
Cat-2,103.4,Juno,2.18,67.42813371,0.4428
Cat-2,102.3,Juno,2.17,76.83112732,0.3961
Cat-2,102.3,Juno,2.17,129.9887792,0.2575
Cat-2,102.3,Juno,2.17,184.8304818,0.6406
Cat-2,100.1,Juno,2.16,218.6758979,0.2722
Cat-2,100.1,Juno,2.16,49.19745386,0.3627
